thickness_mm,length_mm,root_width_mm,fillet_mm,max_stress_MPa,min_FOS,status
3.0,180,20,0,572.2,0.48,FAIL
6.0,160,35,8,53.81,5.11,PASS
2.0,180,20,0,1185.2,0.232,FAIL
2.5,180,20,0,801.7,0.343,FAIL
3.5,180,20,0,437.3,0.629,FAIL
4.0,180,20,0,342.5,0.803,FAIL
4.0,170,25,3,223.7,1.229,PASS
4.0,160,30,5,168.1,1.636,PASS
5.0,180,20,0,221.1,1.244,PASS
5.0,170,25,3,159.3,1.726,PASS
5.0,160,30,5,117.8,2.334,PASS
6.0,180,20,0,167.7,1.64,PASS
6.0,170,30,5,82.3,3.341,PASS
7.0,180,30,5,80.5,3.416,PASS
7.0,160,35,8,55.6,4.946,PASS
8.0,180,35,8,40.9,6.724,PASS
8.0,160,35,8,34.4,7.994,PASS
